Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	BAZ2B	0.17	0.108186469	3.05E-01	218.04	NO	No_Regulation
challenge VS control	SLC36A1	-0.81	2.71E-05	6.91E-04	43.67	NO	No_Regulation
challenge VS control	LPGAT1	-0.48	0.003972758	3.22E-02	106.4	NO	No_Regulation
challenge VS control	RAP2C	0.09	0.72214042	8.67E-01	7.99	NO	No_Regulation
challenge VS control	EXOSC9	0.68	0.003241017	2.78E-02	9.6	NO	No_Regulation
challenge VS control	PLA2G12A	-0.34	0.08640281	2.66E-01	31.13	NO	No_Regulation
challenge VS control	ADCK4	-0.04	0.888358634	9.50E-01	5.3	NO	No_Regulation
challenge VS control	PFKFB2	-0.12	0.449647271	6.86E-01	25.41	NO	No_Regulation
challenge VS control	AGO2	0.04	0.80605602	9.10E-01	43.49	NO	No_Regulation
challenge VS control	MXD4	-0.18	0.339341698	5.87E-01	22	NO	No_Regulation
challenge VS control	CKS2	0.9	1.27E-04	2.32E-03	9.68	NO	No_Regulation
challenge VS control	ACSL3	0.15	0.41045104	6.52E-01	40.45	NO	No_Regulation
challenge VS control	CHPF	-0.47	0.073350102	2.39E-01	5.65	NO	No_Regulation
challenge VS control	DNPEP	-0.1	0.51687123	7.36E-01	20.82	NO	No_Regulation
challenge VS control	FAM210B	0.19	0.388390394	6.33E-01	10.91	NO	No_Regulation
challenge VS control	FAM209A	0.12	0.599526974	7.93E-01	6.87	NO	No_Regulation
challenge VS control	PREX1	0.36	0.099172944	2.90E-01	16.29	NO	No_Regulation
challenge VS control	SDC4	-0.7	8.65E-04	1.03E-02	19.96	NO	No_Regulation
challenge VS control	NCOA3	0.26	0.088160755	2.69E-01	60.16	NO	No_Regulation
challenge VS control	PIGT	0.02	0.911348181	9.61E-01	12.29	NO	No_Regulation
challenge VS control	NCOA5	0.08	0.647030075	8.23E-01	18.65	NO	No_Regulation
challenge VS control	VAPB	-0.26	0.081143552	2.56E-01	31.13	NO	No_Regulation
challenge VS control	PARD6B	-0.85	1.48E-05	4.34E-04	37.26	NO	No_Regulation
challenge VS control	ATP5E	0.12	0.494203439	7.20E-01	36.83	NO	No_Regulation
challenge VS control	CHD6	0.17	0.258263562	5.06E-01	50.13	NO	No_Regulation
challenge VS control	PLCG1	-0.21	0.278451382	5.27E-01	12.95	NO	No_Regulation
challenge VS control	C20orf100	0.2	0.380167547	6.26E-01	9.31	NO	No_Regulation
challenge VS control	SRSF6	0.17	0.428638956	6.67E-01	48.79	NO	No_Regulation
challenge VS control	ARFGEF2	-0.06	0.53934516	7.52E-01	97.98	NO	No_Regulation
challenge VS control	ZNFX1	-0.1	0.602301002	7.95E-01	28.18	NO	No_Regulation
challenge VS control	ZNF831	0.78	0.002981019	2.60E-02	5.25	NO	No_Regulation
challenge VS control	EDN3	-0.73	0.001582838	1.63E-02	21.49	NO	No_Regulation
challenge VS control	CSE1L	0.55	0.004110836	3.30E-02	20.24	NO	No_Regulation
challenge VS control	TMEM189-UBE2V1	-0.05	0.832745836	9.22E-01	9.55	NO	No_Regulation
challenge VS control	RAB22A	-0.3	0.093437821	2.79E-01	35.97	NO	No_Regulation
challenge VS control	STAU1	-0.26	0.045415772	1.73E-01	55.69	NO	No_Regulation
challenge VS control	RP11-196N14.1	-0.49	0.040232165	1.60E-01	8.27	NO	No_Regulation
challenge VS control	PMEPA1	0.22	0.358042422	6.07E-01	12.46	NO	No_Regulation
challenge VS control	RNF114	-0.02	0.893347277	9.53E-01	19.62	NO	No_Regulation
challenge VS control	DDX27	-0.08	0.621973394	8.09E-01	27.32	NO	No_Regulation
challenge VS control	PCK1	-1.53	2.04E-10	5.71E-08	82.06	YES	Down-Regulated in Sample Group
challenge VS control	ZBP1	0.56	0.030650389	1.33E-01	5.45	NO	No_Regulation
challenge VS control	MTRR	-0.03	0.900597769	9.56E-01	12.51	NO	No_Regulation
challenge VS control	PEPD	-0.7	3.04E-04	4.65E-03	66.02	NO	No_Regulation
challenge VS control	IQSEC2	-0.49	0.005240232	3.91E-02	17.61	NO	No_Regulation
challenge VS control	STAMBP	-0.37	0.016473871	8.64E-02	36.77	NO	No_Regulation
challenge VS control	NAGK	0.18	0.441106212	6.79E-01	10.51	NO	No_Regulation
challenge VS control	MCEE	0.21	0.22783733	4.72E-01	20.82	NO	No_Regulation
challenge VS control	PAIP2B	0.3	0.255670685	5.04E-01	6.41	NO	No_Regulation
challenge VS control	MPHOSPH10	0.37	0.026478187	1.20E-01	24.83	NO	No_Regulation
challenge VS control	ATP8A1	-0.41	0.01138263	6.67E-02	55.71	NO	No_Regulation
challenge VS control	USP22	0.07	0.662269711	8.32E-01	32.23	NO	No_Regulation
challenge VS control	POF1B	-0.36	0.011590522	6.76E-02	112.92	NO	No_Regulation
challenge VS control	USP9X	-0.32	0.001505002	1.58E-02	88.2	NO	No_Regulation
challenge VS control	TRERF1	0.33	0.059962798	2.09E-01	40.99	NO	No_Regulation
challenge VS control	BTN2A2	0.64	0.019715282	9.81E-02	4.99	NO	No_Regulation
challenge VS control	SIRT5	-0.28	0.177321172	4.08E-01	11.53	NO	No_Regulation
challenge VS control	MRS2	0.27	0.158881419	3.83E-01	16.32	NO	No_Regulation
challenge VS control	WRNIP1	0.05	0.824022958	9.19E-01	11.43	NO	No_Regulation
challenge VS control	RRP36	0.28	0.177532195	4.08E-01	12.54	NO	No_Regulation
challenge VS control	SNRPC	0.37	0.087032283	2.68E-01	11.89	NO	No_Regulation
challenge VS control	SERPINB6	0.17	0.209724081	4.49E-01	86.92	NO	No_Regulation
challenge VS control	XPO5	0.08	0.707160667	8.57E-01	11.38	NO	No_Regulation
challenge VS control	ABCC10	0.1	0.700933571	8.54E-01	6.36	NO	No_Regulation
challenge VS control	HIST1H1D	0.9	4.06E-04	5.81E-03	8.18	NO	No_Regulation
challenge VS control	PEX6	-0.14	0.493956991	7.20E-01	11.16	NO	No_Regulation
challenge VS control	NQO2	-0.12	0.579172673	7.81E-01	14.53	NO	No_Regulation
challenge VS control	OARD1	0.42	0.025051738	1.16E-01	20.44	NO	No_Regulation
challenge VS control	UNC5CL	-0.41	0.054801068	1.97E-01	11.11	NO	No_Regulation
challenge VS control	MOCS1	-0.44	0.08052967	2.55E-01	6.75	NO	No_Regulation
challenge VS control	MAD2L1BP	0	0.999379298	1.00E+00	4.33	NO	No_Regulation
challenge VS control	KLHDC3	-0.29	0.204491199	4.43E-01	8.34	NO	No_Regulation
challenge VS control	MEA1	0.23	0.377332981	6.24E-01	7.53	NO	No_Regulation
challenge VS control	CDKN1A	-0.58	0.006701114	4.62E-02	29.99	NO	No_Regulation
challenge VS control	SOX4	0.23	0.187816881	4.21E-01	56.62	NO	No_Regulation
challenge VS control	GLO1	-0.42	0.010826083	6.46E-02	51.57	NO	No_Regulation
challenge VS control	CPNE5	-0.02	0.952318593	9.79E-01	5.29	NO	No_Regulation
challenge VS control	RREB1	0.11	0.492758557	7.19E-01	118.63	NO	No_Regulation
challenge VS control	SSR1	0.3	0.016376283	8.61E-02	51.05	NO	No_Regulation
challenge VS control	RIOK1	0.04	0.861061789	9.36E-01	12.8	NO	No_Regulation
challenge VS control	SLC35B3	-0.13	0.502099003	7.26E-01	16.02	NO	No_Regulation
challenge VS control	ATXN1	-0.06	0.524173198	7.42E-01	186.25	NO	No_Regulation
challenge VS control	NUP153	0.24	0.129029326	3.39E-01	29.28	NO	No_Regulation
challenge VS control	DEK	0.12	0.302183935	5.52E-01	106.71	NO	No_Regulation
challenge VS control	RUNX2	0.11	0.581624251	7.82E-01	34.2	NO	No_Regulation
challenge VS control	LRRFIP1	-0.4	4.78E-05	1.07E-03	145.28	NO	No_Regulation
challenge VS control	RAB17	-0.92	6.76E-06	2.40E-04	24.06	NO	No_Regulation
challenge VS control	MYRF	-0.54	0.018698397	9.46E-02	8.41	NO	No_Regulation
challenge VS control	AHNAK	-0.56	0.001305835	1.42E-02	69.58	NO	No_Regulation
challenge VS control	EMC3	-0.16	0.376614885	6.24E-01	21.02	NO	No_Regulation
challenge VS control	CNOT1	0.08	0.51864276	7.37E-01	54.06	NO	No_Regulation
challenge VS control	BBS2	-0.11	0.627673199	8.12E-01	8.82	NO	No_Regulation
challenge VS control	MT1G	-0.48	0.075497319	2.43E-01	13.52	NO	No_Regulation
challenge VS control	MT2A	-0.21	0.415696656	6.57E-01	7.95	NO	No_Regulation
challenge VS control	C16orf70	-0.05	0.822315124	9.18E-01	9.36	NO	No_Regulation
challenge VS control	GOT2	0.37	0.073042575	2.38E-01	12.8	NO	No_Regulation
challenge VS control	DOK4	-1.2	4.71E-08	4.23E-06	12.87	YES	Down-Regulated in Sample Group
challenge VS control	CLYBL	0.22	0.094997254	2.82E-01	68.17	NO	No_Regulation
challenge VS control	TMTC4	-0.3	0.107578182	3.04E-01	18.62	NO	No_Regulation
challenge VS control	RAP2A	-0.33	0.079535616	2.52E-01	19.08	NO	No_Regulation
challenge VS control	SLC10A2	-0.81	0.001639258	1.67E-02	16.41	NO	No_Regulation
challenge VS control	ABCC4	0.23	0.172401937	4.02E-01	24.83	NO	No_Regulation
challenge VS control	EFNB2	-0.15	0.420558571	6.60E-01	44.9	NO	No_Regulation
challenge VS control	TM9SF2	0.07	0.520389797	7.39E-01	75.92	NO	No_Regulation
challenge VS control	IRF1	0.58	5.41E-04	7.20E-03	54.02	NO	No_Regulation
challenge VS control	UPF3B	0.28	0.045511382	1.73E-01	29.57	NO	No_Regulation
challenge VS control	SEPT6	0.49	0.016092341	8.52E-02	33.86	NO	No_Regulation
challenge VS control	NDUFA1	0.2	0.187106942	4.20E-01	52.17	NO	No_Regulation
challenge VS control	ATP5S	-0.08	0.664637607	8.33E-01	15.32	NO	No_Regulation
challenge VS control	FAM193A	0.07	0.616836293	8.06E-01	55.7	NO	No_Regulation
challenge VS control	SOX9	0.41	0.072363747	2.37E-01	17.03	NO	No_Regulation
challenge VS control	HS3ST3B1	-0.05	0.840230975	9.25E-01	5.22	NO	No_Regulation
challenge VS control	MRPS7	0.02	0.923842229	9.67E-01	10.97	NO	No_Regulation
challenge VS control	GGA3	-0.24	0.212338415	4.52E-01	16.22	NO	No_Regulation
challenge VS control	NUP85	0.33	0.088577901	2.70E-01	16.33	NO	No_Regulation
challenge VS control	NT5C	-0.2	0.37840987	6.25E-01	10.79	NO	No_Regulation
challenge VS control	TTF1	-0.04	0.829488183	9.21E-01	14.09	NO	No_Regulation
challenge VS control	GTF3C4	0.57	0.016900363	8.80E-02	8.67	NO	No_Regulation
challenge VS control	DDX31	0.69	0.001705654	1.71E-02	10.16	NO	No_Regulation
challenge VS control	PPP1R12C	0.06	0.771413995	8.92E-01	13.75	NO	No_Regulation
challenge VS control	MBOAT7	-0.45	0.017763025	9.08E-02	17.05	NO	No_Regulation
challenge VS control	PPDPF	-0.71	0.001576106	1.63E-02	11.58	NO	No_Regulation
challenge VS control	PAX8	-0.28	0.293884639	5.44E-01	7.26	NO	No_Regulation
challenge VS control	INSIG2	-0.36	0.084434767	2.63E-01	16.85	NO	No_Regulation
challenge VS control	CCDC93	-0.32	0.011350351	6.66E-02	44.24	NO	No_Regulation
challenge VS control	PSD4	-0.4	0.030778468	1.34E-01	17.86	NO	No_Regulation
challenge VS control	SLC25A23	-0.54	0.029976726	1.32E-01	8.34	NO	No_Regulation
challenge VS control	GTF2F1	0.22	0.291445294	5.41E-01	11.43	NO	No_Regulation
challenge VS control	ALKBH7	-0.36	0.075431584	2.43E-01	10.38	NO	No_Regulation
challenge VS control	CLPP	-0.07	0.772074508	8.92E-01	7.52	NO	No_Regulation
challenge VS control	THOC2	-0.06	0.625674513	8.11E-01	97.68	NO	No_Regulation
challenge VS control	MED1	-0.26	0.125463722	3.34E-01	19.75	NO	No_Regulation
challenge VS control	RPL23	0.24	0.130412475	3.41E-01	171.86	NO	No_Regulation
challenge VS control	RP11-51F16.8	0.35	0.020806726	1.02E-01	37.17	NO	No_Regulation
challenge VS control	ATG4C	0.08	0.678695044	8.42E-01	17.51	NO	No_Regulation
challenge VS control	C3	-0.29	0.188385563	4.22E-01	8.88	NO	No_Regulation
challenge VS control	SH2D3A	-0.67	0.001094729	1.25E-02	11.82	NO	No_Regulation
challenge VS control	TRIP10	-0.61	0.0042574	3.38E-02	10.56	NO	No_Regulation
challenge VS control	OPA3	-0.11	0.560139772	7.69E-01	14.8	NO	No_Regulation
challenge VS control	SNRPD2	0.69	2.91E-04	4.50E-03	20.2	NO	No_Regulation
challenge VS control	EML2	0.37	0.124308278	3.32E-01	9.97	NO	No_Regulation
challenge VS control	VASP	0.04	0.774696527	8.93E-01	36.62	NO	No_Regulation
challenge VS control	SYMPK	-0.23	0.206365314	4.45E-01	17.41	NO	No_Regulation
challenge VS control	GPCPD1	-0.58	1.70E-04	2.88E-03	60.21	NO	No_Regulation
challenge VS control	SDCBP2	-0.62	6.55E-04	8.33E-03	53.82	NO	No_Regulation
challenge VS control	PANK2	-0.11	0.622393541	8.09E-01	12.18	NO	No_Regulation
challenge VS control	CD93	0.08	0.749019175	8.81E-01	5.46	NO	No_Regulation
challenge VS control	NAPB	0.47	0.05342617	1.94E-01	6.88	NO	No_Regulation
challenge VS control	CENPB	0.19	0.4547378	6.90E-01	7.02	NO	No_Regulation
challenge VS control	PSMF1	-0.02	0.883431485	9.48E-01	40.87	NO	No_Regulation
challenge VS control	DTD1	0.44	0.037908286	1.54E-01	13.07	NO	No_Regulation
challenge VS control	RBCK1	0.06	0.731863278	8.72E-01	18.77	NO	No_Regulation
challenge VS control	TMX4	-0.19	0.31580452	5.66E-01	20.92	NO	No_Regulation
challenge VS control	STK35	-0.28	0.181949482	4.13E-01	11.97	NO	No_Regulation
challenge VS control	SNRPB	0.58	0.00695891	4.76E-02	20.46	NO	No_Regulation
challenge VS control	RRBP1	0.44	0.001061261	1.22E-02	121.42	NO	No_Regulation
challenge VS control	BMP2	-0.94	5.54E-05	1.20E-03	7.66	NO	No_Regulation
challenge VS control	ZNF133	0.43	0.018394374	9.33E-02	21.78	NO	No_Regulation
challenge VS control	FLRT3	-0.52	0.010839244	6.46E-02	28.47	NO	No_Regulation
challenge VS control	OVOL2	-0.18	0.289979386	5.39E-01	19.65	NO	No_Regulation
challenge VS control	PCSK2	-0.07	0.780902761	8.96E-01	10.66	NO	No_Regulation
challenge VS control	MKKS	0.08	0.750373724	8.81E-01	9.32	NO	No_Regulation
challenge VS control	DSTN	0.1	0.477364954	7.06E-01	47.14	NO	No_Regulation
challenge VS control	SNRPB2	0.06	0.738606832	8.76E-01	18.16	NO	No_Regulation
challenge VS control	MGME1	0.24	0.21641778	4.58E-01	15.63	NO	No_Regulation
challenge VS control	TBC1D20	-0.39	0.083137354	2.60E-01	11.35	NO	No_Regulation
challenge VS control	ITPA	0	0.989120199	9.95E-01	14.37	NO	No_Regulation
challenge VS control	MCM8	0.32	0.179441309	4.10E-01	6.85	NO	No_Regulation
challenge VS control	FAM110A	-0.18	0.44719029	6.84E-01	6.37	NO	No_Regulation
challenge VS control	MRPS26	0.14	0.568039434	7.74E-01	6.9	NO	No_Regulation
challenge VS control	NCLN	-0.2	0.30809698	5.58E-01	14.95	NO	No_Regulation
challenge VS control	HNRNPR	0.45	7.32E-05	1.51E-03	91.55	NO	No_Regulation
challenge VS control	MAX	-0.18	0.271514957	5.20E-01	48.59	NO	No_Regulation
challenge VS control	CHURC1-FNTB	-0.19	0.145613675	3.64E-01	40.98	NO	No_Regulation
challenge VS control	ID1	-0.2	0.376577558	6.24E-01	20.66	NO	No_Regulation
challenge VS control	RALY	0.12	0.346977695	5.96E-01	52.96	NO	No_Regulation
challenge VS control	DYNLRB1	-0.28	0.165097106	3.92E-01	18.25	NO	No_Regulation
challenge VS control	EIF2S2	0.08	0.542702251	7.55E-01	53.1	NO	No_Regulation
challenge VS control	ERGIC3	0.11	0.463700235	6.96E-01	22.61	NO	No_Regulation
challenge VS control	ROMO1	-0.03	0.875698569	9.44E-01	13.48	NO	No_Regulation
challenge VS control	BPIFB1	0.03	0.852480254	9.32E-01	5.18	NO	No_Regulation
challenge VS control	CEP250	0.21	0.353594618	6.03E-01	7.88	NO	No_Regulation
challenge VS control	PLAGL2	-0.4	0.106055151	3.01E-01	6.72	NO	No_Regulation
challenge VS control	RP4-614O4.5	-0.47	0.002699931	2.41E-02	25.26	NO	No_Regulation
challenge VS control	KDM5C	0.01	0.957126211	9.81E-01	15.21	NO	No_Regulation
challenge VS control	AMOT	-0.01	0.981469634	9.92E-01	4.73	NO	No_Regulation
challenge VS control	PSMB2	0.36	0.049104271	1.83E-01	21.25	NO	No_Regulation
challenge VS control	AGO3	-0.08	0.56207611	7.70E-01	61.86	NO	No_Regulation
challenge VS control	UROD	-0.15	0.539251763	7.52E-01	5.03	NO	No_Regulation
challenge VS control	ST3GAL3	0.56	0.00700455	4.78E-02	20.03	NO	No_Regulation
challenge VS control	TMEM53	0.05	0.831876526	9.22E-01	7.38	NO	No_Regulation
challenge VS control	HECTD3	-0.52	0.014291968	7.86E-02	17.02	NO	No_Regulation
challenge VS control	KLC1	-0.16	0.482029757	7.12E-01	11.26	NO	No_Regulation
challenge VS control	TUBGCP3	0.23	0.205706583	4.44E-01	32.24	NO	No_Regulation
challenge VS control	MCF2L	0.15	0.502972634	7.27E-01	12.39	NO	No_Regulation
challenge VS control	PCID2	0.29	0.179530238	4.10E-01	15.45	NO	No_Regulation
challenge VS control	CAPNS1	-0.27	0.100174084	2.91E-01	35.14	NO	No_Regulation
challenge VS control	RBM42	0.09	0.712486281	8.60E-01	6.68	NO	No_Regulation
challenge VS control	UBA2	0.06	0.674647976	8.39E-01	26.71	NO	No_Regulation
challenge VS control	COX6B1	0.02	0.921889855	9.66E-01	49.19	NO	No_Regulation
challenge VS control	THRA	-0.43	0.013775673	7.66E-02	22.73	NO	No_Regulation
challenge VS control	FRMD8	-0.36	0.117089429	3.19E-01	8.66	NO	No_Regulation
challenge VS control	PRDX5	-0.31	0.094217281	2.80E-01	35.9	NO	No_Regulation
challenge VS control	IRF3	-0.26	0.154584721	3.77E-01	17.26	NO	No_Regulation
challenge VS control	PRMT1	0.19	0.390095149	6.35E-01	10.21	NO	No_Regulation
challenge VS control	PRR12	0.5	0.028041923	1.25E-01	7.97	NO	No_Regulation
challenge VS control	ASL	0.39	0.123924673	3.31E-01	5.69	NO	No_Regulation
challenge VS control	SBDS	-0.36	0.032016958	1.38E-01	42.72	NO	No_Regulation
challenge VS control	STAT5A	0.49	0.043038523	1.67E-01	6.17	NO	No_Regulation
challenge VS control	BECN1	-0.25	0.088535691	2.70E-01	28.13	NO	No_Regulation
challenge VS control	TRAP1	0.32	0.105961087	3.01E-01	16.27	NO	No_Regulation
challenge VS control	NSRP1	0.12	0.278464982	5.27E-01	64.92	NO	No_Regulation
challenge VS control	DNAJC8	0.36	0.020062484	9.94E-02	28.84	NO	No_Regulation
challenge VS control	AHDC1	-0.16	0.520324546	7.39E-01	5.15	NO	No_Regulation
challenge VS control	IFI6	0.03	0.925803361	9.68E-01	23.53	NO	No_Regulation
challenge VS control	DACH2	-0.81	5.70E-04	7.50E-03	17.11	NO	No_Regulation
challenge VS control	ZNF384	-0.01	0.974208248	9.90E-01	12.38	NO	No_Regulation
challenge VS control	UXT	0.04	0.85545936	9.33E-01	10.38	NO	No_Regulation
challenge VS control	ELK1	-0.12	0.64681491	8.23E-01	4.8	NO	No_Regulation
challenge VS control	TIMM17B	0.64	0.016372063	8.61E-02	4.82	NO	No_Regulation
challenge VS control	PCNX4	0.03	0.855507027	9.33E-01	58.76	NO	No_Regulation
challenge VS control	ATG14	-0.46	0.017824551	9.10E-02	13.92	NO	No_Regulation
challenge VS control	KTN1	-0.02	0.855953831	9.33E-01	141.38	NO	No_Regulation
challenge VS control	RHOJ	-0.18	0.482980935	7.13E-01	10.7	NO	No_Regulation
challenge VS control	DLGAP5	1.14	1.48E-06	7.38E-05	8.23	YES	Up-Regulated in Sample Group
challenge VS control	L3HYPDH	0.12	0.647501159	8.24E-01	5.23	NO	No_Regulation
challenge VS control	ZBTB1	0.12	0.48517057	7.14E-01	25.23	NO	No_Regulation
challenge VS control	SGPP1	-0.08	0.743627021	8.77E-01	10.96	NO	No_Regulation
challenge VS control	PLEKHG3	-0.15	0.533536342	7.48E-01	7.21	NO	No_Regulation
challenge VS control	RHOT1	-0.19	0.235147333	4.81E-01	39.41	NO	No_Regulation
challenge VS control	WDR60	-0.58	1.42E-04	2.56E-03	48.21	NO	No_Regulation
challenge VS control	NUP214	0.25	0.073544561	2.39E-01	40.1	NO	No_Regulation
challenge VS control	MAP2K2	-0.14	0.417279016	6.58E-01	26.46	NO	No_Regulation
challenge VS control	HNRNPH2	0.08	0.668128971	8.36E-01	14.91	NO	No_Regulation
challenge VS control	ZC4H2	0	0.980402206	9.92E-01	42.67	NO	No_Regulation
challenge VS control	CANX	0.14	0.252664232	5.02E-01	105.18	NO	No_Regulation
challenge VS control	INTS11	-0.13	0.580270438	7.81E-01	8.04	NO	No_Regulation
challenge VS control	RGS13	-0.2	0.463745355	6.96E-01	5.91	NO	No_Regulation
challenge VS control	IPPK	0.33	0.184728169	4.17E-01	5.29	NO	No_Regulation
challenge VS control	FGD3	0.41	0.100794876	2.92E-01	5.31	NO	No_Regulation
challenge VS control	HIVEP3	0.41	0.022425894	1.08E-01	27.04	NO	No_Regulation
challenge VS control	PPCS	-0.02	0.921779646	9.66E-01	23.48	NO	No_Regulation
challenge VS control	BCL11B	-0.05	0.716871152	8.63E-01	70.33	NO	No_Regulation
challenge VS control	COX7C	-0.05	0.764802412	8.88E-01	58.16	NO	No_Regulation
challenge VS control	TRAF2	0.46	0.064776749	2.21E-01	5.13	NO	No_Regulation
challenge VS control	HELB	0.02	0.914764024	9.63E-01	21.26	NO	No_Regulation
challenge VS control	RAP1B	0.13	0.412287835	6.54E-01	62.05	NO	No_Regulation
challenge VS control	TSPAN8	-0.7	3.11E-07	2.15E-05	171.37	NO	No_Regulation
challenge VS control	RAB3IP	-0.17	0.394794463	6.39E-01	23.36	NO	No_Regulation
challenge VS control	PTPRB	-0.48	0.004773481	3.66E-02	34.53	NO	No_Regulation
challenge VS control	DYRK2	-0.36	0.040028153	1.60E-01	33.05	NO	No_Regulation
challenge VS control	YEATS4	0.27	0.258125808	5.06E-01	7.4	NO	No_Regulation
challenge VS control	TMEM175	0.03	0.905084714	9.58E-01	5.73	NO	No_Regulation
challenge VS control	PIN1	-0.01	0.950307606	9.78E-01	10.25	NO	No_Regulation
challenge VS control	FBXL12	-0.03	0.911940345	9.61E-01	6.57	NO	No_Regulation
challenge VS control	EMC1	-0.18	0.455705722	6.91E-01	7.59	NO	No_Regulation
challenge VS control	UBR4	-0.18	0.148911832	3.68E-01	39.91	NO	No_Regulation
challenge VS control	HP1BP3	0.14	0.160395832	3.85E-01	82.93	NO	No_Regulation
challenge VS control	SIN3B	0.26	0.268850163	5.17E-01	6.94	NO	No_Regulation
challenge VS control	SLC35E1	-0.05	0.791642776	9.02E-01	17.96	NO	No_Regulation
challenge VS control	EPS15L1	0.14	0.452846047	6.89E-01	19.04	NO	No_Regulation
challenge VS control	GFER	-0.19	0.462163454	6.95E-01	4.86	NO	No_Regulation
challenge VS control	MACF1	-0.11	0.272496175	5.21E-01	136.04	NO	No_Regulation
challenge VS control	SMARCA4	0.2	0.130021309	3.40E-01	43.09	NO	No_Regulation
challenge VS control	KDM4B	0.2	0.281364857	5.30E-01	26.23	NO	No_Regulation
challenge VS control	TICAM1	-0.39	0.073315264	2.39E-01	8.95	NO	No_Regulation
challenge VS control	METTL25	0.29	0.032247502	1.38E-01	34.56	NO	No_Regulation
challenge VS control	TMEM93	0.06	0.821935841	9.18E-01	4.56	NO	No_Regulation
challenge VS control	METTL16	-0.07	0.650978125	8.25E-01	24.8	NO	No_Regulation
challenge VS control	TUBA4A	-0.2	0.449169664	6.86E-01	4.96	NO	No_Regulation
